4.1293 	EXP 	window1: blendMode = 'avg'
4.1315 	EXP 	window1: blendMode = 'avg'
4.1337 	EXP 	window1: blendMode = 'avg'
4.1359 	EXP 	window1: blendMode = 'avg'
4.1382 	EXP 	window1: blendMode = 'avg'
4.1411 	EXP 	window1: blendMode = 'avg'
4.1432 	EXP 	window1: blendMode = 'avg'
4.1466 	EXP 	window1: blendMode = 'avg'
4.1486 	EXP 	window1: blendMode = 'avg'
4.1520 	EXP 	window1: blendMode = 'avg'
4.1543 	EXP 	window1: blendMode = 'avg'
4.1576 	EXP 	window1: blendMode = 'avg'
4.1597 	EXP 	window1: blendMode = 'avg'
4.1648 	EXP 	window1: blendMode = 'avg'
4.1670 	EXP 	window1: blendMode = 'avg'
4.1710 	EXP 	window1: blendMode = 'avg'
4.1739 	EXP 	window1: blendMode = 'avg'
4.1759 	EXP 	window1: blendMode = 'avg'
4.1780 	EXP 	window1: blendMode = 'avg'
4.1814 	EXP 	window1: blendMode = 'avg'
4.1836 	EXP 	window1: blendMode = 'avg'
4.1859 	EXP 	window1: blendMode = 'avg'
4.1903 	EXP 	window1: blendMode = 'avg'
4.1925 	EXP 	window1: blendMode = 'avg'
4.1959 	EXP 	window1: blendMode = 'avg'
4.1979 	EXP 	window1: blendMode = 'avg'
4.2001 	EXP 	window1: blendMode = 'avg'
4.2025 	EXP 	window1: blendMode = 'avg'
4.2047 	EXP 	window1: blendMode = 'avg'
4.2077 	EXP 	window1: blendMode = 'avg'
4.2098 	EXP 	window1: blendMode = 'avg'
4.2132 	EXP 	window1: blendMode = 'avg'
4.2154 	EXP 	window1: blendMode = 'avg'
4.2176 	EXP 	window1: blendMode = 'avg'
4.2198 	EXP 	window1: blendMode = 'avg'
4.2219 	EXP 	window1: blendMode = 'avg'
4.2249 	EXP 	window1: blendMode = 'avg'
4.2294 	EXP 	window1: blendMode = 'avg'
4.2315 	EXP 	window1: blendMode = 'avg'
4.2336 	EXP 	window1: blendMode = 'avg'
4.2360 	EXP 	window1: blendMode = 'avg'
4.2382 	EXP 	window1: blendMode = 'avg'
4.2404 	EXP 	window1: blendMode = 'avg'
4.2426 	EXP 	window1: blendMode = 'avg'
4.2447 	EXP 	window1: blendMode = 'avg'
4.2483 	EXP 	window1: blendMode = 'avg'
4.2525 	EXP 	window1: blendMode = 'avg'
4.2553 	EXP 	window1: blendMode = 'avg'
4.2576 	EXP 	window1: blendMode = 'avg'
4.2596 	EXP 	window1: blendMode = 'avg'
4.2645 	EXP 	window1: blendMode = 'avg'
4.2667 	EXP 	window1: blendMode = 'avg'
4.2689 	EXP 	window1: blendMode = 'avg'
4.2717 	EXP 	window1: blendMode = 'avg'
4.2737 	EXP 	window1: blendMode = 'avg'
4.2757 	EXP 	window1: blendMode = 'avg'
4.2778 	EXP 	window1: blendMode = 'avg'
4.2812 	EXP 	window1: blendMode = 'avg'
4.2832 	EXP 	window1: blendMode = 'avg'
4.2856 	EXP 	window1: blendMode = 'avg'
4.2889 	EXP 	window1: blendMode = 'avg'
4.2912 	EXP 	window1: blendMode = 'avg'
