7.8657 	EXP 	window1: blendMode = 'avg'
7.8680 	EXP 	window1: blendMode = 'avg'
7.8701 	EXP 	window1: blendMode = 'avg'
7.8722 	EXP 	window1: blendMode = 'avg'
7.8751 	EXP 	window1: blendMode = 'avg'
7.8798 	EXP 	window1: blendMode = 'avg'
7.8823 	EXP 	window1: blendMode = 'avg'
7.8857 	EXP 	window1: blendMode = 'avg'
7.8878 	EXP 	window1: blendMode = 'avg'
7.8899 	EXP 	window1: blendMode = 'avg'
7.8941 	EXP 	window1: blendMode = 'avg'
7.8976 	EXP 	window1: blendMode = 'avg'
7.9002 	EXP 	window1: blendMode = 'avg'
7.9024 	EXP 	window1: blendMode = 'avg'
7.9045 	EXP 	window1: blendMode = 'avg'
7.9067 	EXP 	window1: blendMode = 'avg'
7.9102 	EXP 	window1: blendMode = 'avg'
7.9128 	EXP 	window1: blendMode = 'avg'
7.9152 	EXP 	window1: blendMode = 'avg'
7.9179 	EXP 	window1: blendMode = 'avg'
7.9214 	EXP 	window1: blendMode = 'avg'
7.9237 	EXP 	window1: blendMode = 'avg'
7.9273 	EXP 	window1: blendMode = 'avg'
7.9300 	EXP 	window1: blendMode = 'avg'
7.9324 	EXP 	window1: blendMode = 'avg'
7.9352 	EXP 	window1: blendMode = 'avg'
7.9374 	EXP 	window1: blendMode = 'avg'
7.9397 	EXP 	window1: blendMode = 'avg'
7.9432 	EXP 	window1: blendMode = 'avg'
7.9457 	EXP 	window1: blendMode = 'avg'
7.9482 	EXP 	window1: blendMode = 'avg'
7.9505 	EXP 	window1: blendMode = 'avg'
7.9527 	EXP 	window1: blendMode = 'avg'
7.9566 	EXP 	window1: blendMode = 'avg'
7.9616 	EXP 	window1: blendMode = 'avg'
7.9641 	EXP 	window1: blendMode = 'avg'
7.9664 	EXP 	window1: blendMode = 'avg'
7.9686 	EXP 	window1: blendMode = 'avg'
7.9707 	EXP 	window1: blendMode = 'avg'
7.9728 	EXP 	window1: blendMode = 'avg'
7.9766 	EXP 	window1: blendMode = 'avg'
7.9795 	EXP 	window1: blendMode = 'avg'
7.9819 	EXP 	window1: blendMode = 'avg'
7.9847 	EXP 	window1: blendMode = 'avg'
7.9870 	EXP 	window1: blendMode = 'avg'
7.9906 	EXP 	window1: blendMode = 'avg'
7.9929 	EXP 	window1: blendMode = 'avg'
7.9954 	EXP 	window1: blendMode = 'avg'
7.9995 	EXP 	window1: blendMode = 'avg'
8.0038 	EXP 	window1: blendMode = 'avg'
8.0084 	EXP 	window1: blendMode = 'avg'
8.0109 	EXP 	window1: blendMode = 'avg'
8.0134 	EXP 	window1: blendMode = 'avg'
8.0157 	EXP 	window1: blendMode = 'avg'
8.0178 	EXP 	window1: blendMode = 'avg'
8.0199 	EXP 	window1: blendMode = 'avg'
8.0234 	EXP 	window1: blendMode = 'avg'
8.0263 	EXP 	window1: blendMode = 'avg'
8.0287 	EXP 	window1: blendMode = 'avg'
8.0310 	EXP 	window1: blendMode = 'avg'
8.0332 	EXP 	window1: blendMode = 'avg'
8.0365 	EXP 	window1: blendMode = 'avg'
8.0390 	EXP 	window1: blendMode = 'avg'
8.0411 	EXP 	window1: blendMode = 'avg'
8.0443 	EXP 	window1: blendMode = 'avg'
8.0471 	EXP 	window1: blendMode = 'avg'
8.0495 	EXP 	window1: blendMode = 'avg'
8.0516 	EXP 	window1: blendMode = 'avg'
8.0550 	EXP 	window1: blendMode = 'avg'
8.0571 	EXP 	window1: blendMode = 'avg'
8.0592 	EXP 	window1: blendMode = 'avg'
8.0618 	EXP 	window1: blendMode = 'avg'
8.0644 	EXP 	window1: blendMode = 'avg'
8.0671 	EXP 	window1: blendMode = 'avg'
8.0692 	EXP 	window1: blendMode = 'avg'
8.0727 	EXP 	window1: blendMode = 'avg'
8.0748 	EXP 	window1: blendMode = 'avg'
8.0774 	EXP 	window1: blendMode = 'avg'
8.0799 	EXP 	window1: blendMode = 'avg'
8.0822 	EXP 	window1: blendMode = 'avg'
8.0843 	EXP 	window1: blendMode = 'avg'
8.0871 	EXP 	window1: blendMode = 'avg'
8.0907 	EXP 	window1: blendMode = 'avg'
8.0951 	EXP 	window1: blendMode = 'avg'
8.0976 	EXP 	window1: blendMode = 'avg'
8.0999 	EXP 	window1: blendMode = 'avg'
8.1022 	EXP 	window1: blendMode = 'avg'
8.1044 	EXP 	window1: blendMode = 'avg'
8.1079 	EXP 	window1: blendMode = 'avg'
8.1108 	EXP 	window1: blendMode = 'avg'
8.1136 	EXP 	window1: blendMode = 'avg'
8.1162 	EXP 	window1: blendMode = 'avg'
8.1184 	EXP 	window1: blendMode = 'avg'
8.1208 	EXP 	window1: blendMode = 'avg'
8.1242 	EXP 	window1: blendMode = 'avg'
8.1264 	EXP 	window1: blendMode = 'avg'
8.1290 	EXP 	window1: blendMode = 'avg'
8.1315 	EXP 	window1: blendMode = 'avg'
8.1354 	EXP 	window1: blendMode = 'avg'
8.1377 	EXP 	window1: blendMode = 'avg'
8.1414 	EXP 	window1: blendMode = 'avg'
8.1450 	DATA 	Keypress: space
8.1521 	EXP 	Imported groupAIF.xlsx as conditions, 17 conditions, 4 params
8.1525 	EXP 	Created sequence: sequential, trialTypes=17, nReps=1, seed=None
8.1528 	EXP 	New trial (rep=0, index=0): {'colour': u'red', 'word': u'blue', 'congruent': 0, 'corrAns': u'r'}
8.1581 	EXP 	instrText: autoDraw = False
8.1581 	EXP 	targe: color = u'red (named)'
8.1581 	EXP 	targe: text = u'blue'
8.6547 	EXP 	window1: blendMode = 'avg'
8.6566 	EXP 	targe: autoDraw = True
8.6571 	EXP 	window1: blendMode = 'avg'
8.6593 	EXP 	window1: blendMode = 'avg'
8.6613 	EXP 	window1: blendMode = 'avg'
8.6661 	EXP 	window1: blendMode = 'avg'
8.6699 	EXP 	window1: blendMode = 'avg'
8.6720 	EXP 	window1: blendMode = 'avg'
8.6767 	EXP 	window1: blendMode = 'avg'
8.6787 	EXP 	window1: blendMode = 'avg'
8.6812 	EXP 	window1: blendMode = 'avg'
8.6835 	EXP 	window1: blendMode = 'avg'
8.6879 	EXP 	window1: blendMode = 'avg'
8.6909 	EXP 	window1: blendMode = 'avg'
8.6932 	EXP 	window1: blendMode = 'avg'
8.6956 	EXP 	window1: blendMode = 'avg'
8.6991 	EXP 	window1: blendMode = 'avg'
8.7037 	EXP 	window1: blendMode = 'avg'
8.7057 	EXP 	window1: blendMode = 'avg'
8.7077 	EXP 	window1: blendMode = 'avg'
8.7117 	EXP 	window1: blendMode = 'avg'
8.7138 	EXP 	window1: blendMode = 'avg'
8.7158 	EXP 	window1: blendMode = 'avg'
8.7177 	EXP 	window1: blendMode = 'avg'
8.7210 	EXP 	window1: blendMode = 'avg'
8.7228 	EXP 	window1: blendMode = 'avg'
8.7259 	EXP 	window1: blendMode = 'avg'
8.7284 	EXP 	window1: blendMode = 'avg'
8.7308 	EXP 	window1: blendMode = 'avg'
8.7328 	EXP 	window1: blendMode = 'avg'
8.7348 	EXP 	window1: blendMode = 'avg'
8.7380 	EXP 	window1: blendMode = 'avg'
8.7399 	EXP 	window1: blendMode = 'avg'
8.7418 	EXP 	window1: blendMode = 'avg'
8.7439 	EXP 	window1: blendMode = 'avg'
8.7462 	EXP 	window1: blendMode = 'avg'
8.7489 	EXP 	window1: blendMode = 'avg'
8.7509 	EXP 	window1: blendMode = 'avg'
8.7528 	EXP 	window1: blendMode = 'avg'
8.7561 	EXP 	window1: blendMode = 'avg'
8.7580 	EXP 	window1: blendMode = 'avg'
8.7604 	EXP 	window1: blendMode = 'avg'
8.7629 	EXP 	window1: blendMode = 'avg'
8.7650 	EXP 	window1: blendMode = 'avg'
8.7670 	EXP 	window1: blendMode = 'avg'
8.7696 	EXP 	window1: blendMode = 'avg'
8.7731 	EXP 	window1: blendMode = 'avg'
8.7770 	EXP 	window1: blendMode = 'avg'
8.7795 	EXP 	window1: blendMode = 'avg'
