18.2805 	EXP 	window1: blendMode = 'avg'
18.2825 	EXP 	window1: blendMode = 'avg'
18.2859 	EXP 	window1: blendMode = 'avg'
18.2880 	EXP 	window1: blendMode = 'avg'
18.2900 	EXP 	window1: blendMode = 'avg'
18.2924 	EXP 	window1: blendMode = 'avg'
18.2946 	EXP 	window1: blendMode = 'avg'
18.2976 	EXP 	window1: blendMode = 'avg'
18.2998 	EXP 	window1: blendMode = 'avg'
18.3031 	EXP 	window1: blendMode = 'avg'
18.3051 	EXP 	window1: blendMode = 'avg'
18.3071 	EXP 	window1: blendMode = 'avg'
18.3095 	EXP 	window1: blendMode = 'avg'
18.3117 	EXP 	window1: blendMode = 'avg'
18.3139 	EXP 	window1: blendMode = 'avg'
18.3161 	EXP 	window1: blendMode = 'avg'
18.3194 	EXP 	window1: blendMode = 'avg'
18.3233 	EXP 	window1: blendMode = 'avg'
18.3261 	EXP 	window1: blendMode = 'avg'
18.3289 	EXP 	window1: blendMode = 'avg'
18.3310 	EXP 	window1: blendMode = 'avg'
18.3333 	EXP 	window1: blendMode = 'avg'
18.3378 	EXP 	window1: blendMode = 'avg'
18.3398 	EXP 	window1: blendMode = 'avg'
18.3421 	EXP 	window1: blendMode = 'avg'
18.3449 	EXP 	window1: blendMode = 'avg'
18.3469 	EXP 	window1: blendMode = 'avg'
18.3491 	EXP 	window1: blendMode = 'avg'
18.3524 	EXP 	window1: blendMode = 'avg'
18.3544 	EXP 	window1: blendMode = 'avg'
18.3564 	EXP 	window1: blendMode = 'avg'
18.3587 	EXP 	window1: blendMode = 'avg'
18.3610 	EXP 	window1: blendMode = 'avg'
18.3637 	EXP 	window1: blendMode = 'avg'
18.3657 	EXP 	window1: blendMode = 'avg'
18.3691 	EXP 	window1: blendMode = 'avg'
18.3711 	EXP 	window1: blendMode = 'avg'
18.3732 	EXP 	window1: blendMode = 'avg'
18.3754 	EXP 	window1: blendMode = 'avg'
18.3776 	EXP 	window1: blendMode = 'avg'
18.3804 	EXP 	window1: blendMode = 'avg'
18.3832 	EXP 	window1: blendMode = 'avg'
18.3865 	EXP 	window1: blendMode = 'avg'
18.3885 	EXP 	window1: blendMode = 'avg'
18.3905 	EXP 	window1: blendMode = 'avg'
18.3928 	EXP 	window1: blendMode = 'avg'
18.3950 	EXP 	window1: blendMode = 'avg'
18.3972 	EXP 	window1: blendMode = 'avg'
18.4000 	EXP 	window1: blendMode = 'avg'
18.4020 	EXP 	window1: blendMode = 'avg'
18.4080 	EXP 	window1: blendMode = 'avg'
18.4107 	EXP 	window1: blendMode = 'avg'
18.4134 	EXP 	window1: blendMode = 'avg'
18.4154 	EXP 	window1: blendMode = 'avg'
18.4174 	EXP 	window1: blendMode = 'avg'
18.4194 	EXP 	window1: blendMode = 'avg'
18.4227 	EXP 	window1: blendMode = 'avg'
18.4249 	EXP 	window1: blendMode = 'avg'
18.4271 	EXP 	window1: blendMode = 'avg'
18.4298 	EXP 	window1: blendMode = 'avg'
18.4318 	EXP 	window1: blendMode = 'avg'
18.4338 	EXP 	window1: blendMode = 'avg'
18.4357 	EXP 	window1: blendMode = 'avg'
18.4402 	EXP 	window1: blendMode = 'avg'
18.4427 	EXP 	window1: blendMode = 'avg'
18.4449 	EXP 	window1: blendMode = 'avg'
18.4477 	EXP 	window1: blendMode = 'avg'
18.4497 	EXP 	window1: blendMode = 'avg'
18.4518 	EXP 	window1: blendMode = 'avg'
18.4555 	EXP 	window1: blendMode = 'avg'
18.4576 	EXP 	window1: blendMode = 'avg'
18.4597 	EXP 	window1: blendMode = 'avg'
18.4618 	EXP 	window1: blendMode = 'avg'
18.4646 	EXP 	window1: blendMode = 'avg'
18.4666 	EXP 	window1: blendMode = 'avg'
18.4685 	EXP 	window1: blendMode = 'avg'
18.4718 	EXP 	window1: blendMode = 'avg'
18.4739 	EXP 	window1: blendMode = 'avg'
18.4762 	EXP 	window1: blendMode = 'avg'
18.4784 	EXP 	window1: blendMode = 'avg'
18.4806 	EXP 	window1: blendMode = 'avg'
18.4834 	EXP 	window1: blendMode = 'avg'
18.4855 	EXP 	window1: blendMode = 'avg'
18.4903 	EXP 	window1: blendMode = 'avg'
18.4924 	EXP 	window1: blendMode = 'avg'
18.4961 	EXP 	window1: blendMode = 'avg'
18.4988 	EXP 	window1: blendMode = 'avg'
18.5008 	EXP 	window1: blendMode = 'avg'
18.5027 	EXP 	window1: blendMode = 'avg'
18.5060 	EXP 	window1: blendMode = 'avg'
18.5091 	EXP 	window1: blendMode = 'avg'
18.5112 	EXP 	window1: blendMode = 'avg'
18.5132 	EXP 	window1: blendMode = 'avg'
18.5159 	EXP 	window1: blendMode = 'avg'
18.5180 	EXP 	window1: blendMode = 'avg'
18.5212 	EXP 	window1: blendMode = 'avg'
18.5232 	EXP 	window1: blendMode = 'avg'
18.5256 	EXP 	window1: blendMode = 'avg'
18.5279 	EXP 	window1: blendMode = 'avg'
18.5301 	EXP 	window1: blendMode = 'avg'
18.5322 	EXP 	window1: blendMode = 'avg'
18.5343 	EXP 	window1: blendMode = 'avg'
18.5399 	EXP 	window1: blendMode = 'avg'
18.5431 	EXP 	window1: blendMode = 'avg'
18.5453 	EXP 	window1: blendMode = 'avg'
18.5473 	EXP 	window1: blendMode = 'avg'
18.5494 	EXP 	window1: blendMode = 'avg'
18.5516 	EXP 	window1: blendMode = 'avg'
18.5548 	EXP 	window1: blendMode = 'avg'
18.5586 	EXP 	window1: blendMode = 'avg'
18.5610 	EXP 	window1: blendMode = 'avg'
18.5632 	EXP 	window1: blendMode = 'avg'
18.5654 	EXP 	window1: blendMode = 'avg'
18.5674 	EXP 	window1: blendMode = 'avg'
18.5708 	EXP 	window1: blendMode = 'avg'
18.5728 	EXP 	window1: blendMode = 'avg'
18.5749 	EXP 	window1: blendMode = 'avg'
18.5776 	EXP 	window1: blendMode = 'avg'
18.5797 	EXP 	window1: blendMode = 'avg'
18.5817 	EXP 	window1: blendMode = 'avg'
18.5837 	EXP 	window1: blendMode = 'avg'
18.5869 	EXP 	window1: blendMode = 'avg'
18.5889 	EXP 	window1: blendMode = 'avg'
18.5911 	EXP 	window1: blendMode = 'avg'
18.5942 	EXP 	window1: blendMode = 'avg'
18.5969 	EXP 	window1: blendMode = 'avg'
18.5991 	EXP 	window1: blendMode = 'avg'
18.6023 	EXP 	window1: blendMode = 'avg'
18.6043 	EXP 	window1: blendMode = 'avg'
18.6064 	EXP 	window1: blendMode = 'avg'
18.6087 	EXP 	window1: blendMode = 'avg'
18.6127 	EXP 	window1: blendMode = 'avg'
18.6165 	EXP 	window1: blendMode = 'avg'
18.6200 	EXP 	window1: blendMode = 'avg'
18.6220 	EXP 	window1: blendMode = 'avg'
18.6241 	EXP 	window1: blendMode = 'avg'
18.6263 	EXP 	window1: blendMode = 'avg'
