6.8691 	EXP 	window1: blendMode = 'avg'
6.8727 	EXP 	window1: blendMode = 'avg'
6.8748 	EXP 	window1: blendMode = 'avg'
6.8796 	EXP 	window1: blendMode = 'avg'
6.8817 	EXP 	window1: blendMode = 'avg'
6.8838 	EXP 	window1: blendMode = 'avg'
6.8858 	EXP 	window1: blendMode = 'avg'
6.8893 	EXP 	window1: blendMode = 'avg'
6.8914 	EXP 	window1: blendMode = 'avg'
6.8961 	EXP 	window1: blendMode = 'avg'
6.8982 	EXP 	window1: blendMode = 'avg'
6.9003 	EXP 	window1: blendMode = 'avg'
6.9024 	EXP 	window1: blendMode = 'avg'
6.9058 	EXP 	window1: blendMode = 'avg'
6.9091 	EXP 	window1: blendMode = 'avg'
6.9127 	EXP 	window1: blendMode = 'avg'
6.9147 	EXP 	window1: blendMode = 'avg'
6.9168 	EXP 	window1: blendMode = 'avg'
6.9189 	EXP 	window1: blendMode = 'avg'
6.9223 	EXP 	window1: blendMode = 'avg'
6.9244 	EXP 	window1: blendMode = 'avg'
6.9292 	EXP 	window1: blendMode = 'avg'
6.9313 	EXP 	window1: blendMode = 'avg'
6.9334 	EXP 	window1: blendMode = 'avg'
6.9355 	EXP 	window1: blendMode = 'avg'
6.9389 	EXP 	window1: blendMode = 'avg'
6.9411 	EXP 	window1: blendMode = 'avg'
6.9462 	EXP 	window1: blendMode = 'avg'
6.9483 	EXP 	window1: blendMode = 'avg'
6.9504 	EXP 	window1: blendMode = 'avg'
6.9538 	EXP 	window1: blendMode = 'avg'
6.9559 	EXP 	window1: blendMode = 'avg'
6.9579 	EXP 	window1: blendMode = 'avg'
6.9629 	EXP 	window1: blendMode = 'avg'
6.9650 	EXP 	window1: blendMode = 'avg'
6.9671 	EXP 	window1: blendMode = 'avg'
6.9705 	EXP 	window1: blendMode = 'avg'
6.9726 	EXP 	window1: blendMode = 'avg'
6.9752 	EXP 	window1: blendMode = 'avg'
6.9778 	EXP 	window1: blendMode = 'avg'
6.9824 	EXP 	window1: blendMode = 'avg'
6.9948 	EXP 	window1: blendMode = 'avg'
6.9997 	EXP 	window1: blendMode = 'avg'
7.0117 	EXP 	window1: blendMode = 'avg'
7.0165 	EXP 	window1: blendMode = 'avg'
7.0231 	EXP 	window1: blendMode = 'avg'
7.0251 	EXP 	window1: blendMode = 'avg'
7.0272 	EXP 	window1: blendMode = 'avg'
7.0293 	EXP 	window1: blendMode = 'avg'
7.0314 	EXP 	window1: blendMode = 'avg'
7.0379 	EXP 	window1: blendMode = 'avg'
7.0400 	EXP 	window1: blendMode = 'avg'
7.0421 	EXP 	window1: blendMode = 'avg'
7.0442 	EXP 	window1: blendMode = 'avg'
7.0462 	EXP 	window1: blendMode = 'avg'
7.0509 	EXP 	window1: blendMode = 'avg'
7.0544 	EXP 	window1: blendMode = 'avg'
7.0565 	EXP 	window1: blendMode = 'avg'
7.0586 	EXP 	window1: blendMode = 'avg'
7.0607 	EXP 	window1: blendMode = 'avg'
7.0628 	EXP 	window1: blendMode = 'avg'
7.0662 	EXP 	window1: blendMode = 'avg'
7.0710 	EXP 	window1: blendMode = 'avg'
7.0730 	EXP 	window1: blendMode = 'avg'
7.0751 	EXP 	window1: blendMode = 'avg'
7.0773 	EXP 	window1: blendMode = 'avg'
7.0794 	EXP 	window1: blendMode = 'avg'
7.0828 	EXP 	window1: blendMode = 'avg'
7.0876 	EXP 	window1: blendMode = 'avg'
7.0897 	EXP 	window1: blendMode = 'avg'
7.0917 	EXP 	window1: blendMode = 'avg'
7.0938 	EXP 	window1: blendMode = 'avg'
7.0959 	EXP 	window1: blendMode = 'avg'
7.0993 	EXP 	window1: blendMode = 'avg'
7.1015 	EXP 	window1: blendMode = 'avg'
7.1062 	EXP 	window1: blendMode = 'avg'
7.1110 	EXP 	window1: blendMode = 'avg'
7.1144 	EXP 	window1: blendMode = 'avg'
7.1165 	EXP 	window1: blendMode = 'avg'
7.1186 	EXP 	window1: blendMode = 'avg'
7.1207 	EXP 	window1: blendMode = 'avg'
7.1228 	EXP 	window1: blendMode = 'avg'
7.1278 	EXP 	window1: blendMode = 'avg'
7.1400 	EXP 	window1: blendMode = 'avg'
7.1448 	EXP 	window1: blendMode = 'avg'
7.1571 	EXP 	window1: blendMode = 'avg'
7.1619 	EXP 	window1: blendMode = 'avg'
7.1685 	EXP 	window1: blendMode = 'avg'
7.1707 	EXP 	window1: blendMode = 'avg'
7.1727 	EXP 	window1: blendMode = 'avg'
7.1748 	EXP 	window1: blendMode = 'avg'
7.1769 	EXP 	window1: blendMode = 'avg'
7.1836 	EXP 	window1: blendMode = 'avg'
7.1857 	EXP 	window1: blendMode = 'avg'
7.1877 	EXP 	window1: blendMode = 'avg'
7.1910 	EXP 	window1: blendMode = 'avg'
7.1932 	EXP 	window1: blendMode = 'avg'
7.1966 	EXP 	window1: blendMode = 'avg'
7.2014 	EXP 	window1: blendMode = 'avg'
7.2035 	EXP 	window1: blendMode = 'avg'
7.2055 	EXP 	window1: blendMode = 'avg'
7.2076 	EXP 	window1: blendMode = 'avg'
7.2097 	EXP 	window1: blendMode = 'avg'
7.2131 	EXP 	window1: blendMode = 'avg'
7.2179 	EXP 	window1: blendMode = 'avg'
7.2227 	EXP 	window1: blendMode = 'avg'
7.2290 	EXP 	window1: blendMode = 'avg'
7.2339 	EXP 	window1: blendMode = 'avg'
7.2387 	EXP 	window1: blendMode = 'avg'
7.2447 	EXP 	window1: blendMode = 'avg'
7.2469 	EXP 	window1: blendMode = 'avg'
7.2490 	EXP 	window1: blendMode = 'avg'
7.2510 	EXP 	window1: blendMode = 'avg'
7.2531 	EXP 	window1: blendMode = 'avg'
7.2551 	EXP 	window1: blendMode = 'avg'
7.2572 	EXP 	window1: blendMode = 'avg'
7.2606 	EXP 	window1: blendMode = 'avg'
7.2626 	EXP 	window1: blendMode = 'avg'
7.2647 	EXP 	window1: blendMode = 'avg'
7.2668 	EXP 	window1: blendMode = 'avg'
7.2688 	EXP 	window1: blendMode = 'avg'
7.2709 	EXP 	window1: blendMode = 'avg'
7.2729 	EXP 	window1: blendMode = 'avg'
7.2770 	EXP 	window1: blendMode = 'avg'
7.2791 	EXP 	window1: blendMode = 'avg'
7.2811 	EXP 	window1: blendMode = 'avg'
7.2832 	EXP 	window1: blendMode = 'avg'
7.2852 	EXP 	window1: blendMode = 'avg'
7.2873 	EXP 	window1: blendMode = 'avg'
7.2894 	EXP 	window1: blendMode = 'avg'
7.2927 	EXP 	window1: blendMode = 'avg'
7.2948 	EXP 	window1: blendMode = 'avg'
7.2969 	EXP 	window1: blendMode = 'avg'
7.2989 	EXP 	window1: blendMode = 'avg'
7.3010 	EXP 	window1: blendMode = 'avg'
7.3030 	EXP 	window1: blendMode = 'avg'
7.3063 	EXP 	window1: blendMode = 'avg'
7.3086 	EXP 	window1: blendMode = 'avg'
7.3107 	EXP 	window1: blendMode = 'avg'
7.3128 	EXP 	window1: blendMode = 'avg'
7.3149 	EXP 	window1: blendMode = 'avg'
7.3170 	EXP 	window1: blendMode = 'avg'
7.3190 	EXP 	window1: blendMode = 'avg'
7.3211 	EXP 	window1: blendMode = 'avg'
7.3245 	EXP 	window1: blendMode = 'avg'
7.3265 	EXP 	window1: blendMode = 'avg'
7.3286 	EXP 	window1: blendMode = 'avg'
7.3306 	EXP 	window1: blendMode = 'avg'
7.3327 	EXP 	window1: blendMode = 'avg'
7.3348 	EXP 	window1: blendMode = 'avg'
7.3368 	EXP 	window1: blendMode = 'avg'
7.3402 	EXP 	window1: blendMode = 'avg'
7.3423 	EXP 	window1: blendMode = 'avg'
7.3443 	EXP 	window1: blendMode = 'avg'
7.3464 	EXP 	window1: blendMode = 'avg'
