6.3631 	EXP 	window1: blendMode = 'avg'
6.3666 	EXP 	window1: blendMode = 'avg'
6.3713 	EXP 	window1: blendMode = 'avg'
6.3734 	EXP 	window1: blendMode = 'avg'
6.3755 	EXP 	window1: blendMode = 'avg'
6.3776 	EXP 	window1: blendMode = 'avg'
6.3810 	EXP 	window1: blendMode = 'avg'
6.3862 	EXP 	window1: blendMode = 'avg'
6.3883 	EXP 	window1: blendMode = 'avg'
6.3903 	EXP 	window1: blendMode = 'avg'
6.3936 	EXP 	window1: blendMode = 'avg'
6.3958 	EXP 	window1: blendMode = 'avg'
6.3992 	EXP 	window1: blendMode = 'avg'
6.4040 	EXP 	window1: blendMode = 'avg'
6.4061 	EXP 	window1: blendMode = 'avg'
6.4081 	EXP 	window1: blendMode = 'avg'
6.4102 	EXP 	window1: blendMode = 'avg'
6.4136 	EXP 	window1: blendMode = 'avg'
6.4157 	EXP 	window1: blendMode = 'avg'
6.4205 	EXP 	window1: blendMode = 'avg'
6.4226 	EXP 	window1: blendMode = 'avg'
6.4247 	EXP 	window1: blendMode = 'avg'
6.4267 	EXP 	window1: blendMode = 'avg'
6.4301 	EXP 	window1: blendMode = 'avg'
6.4323 	EXP 	window1: blendMode = 'avg'
6.4371 	EXP 	window1: blendMode = 'avg'
6.4394 	EXP 	window1: blendMode = 'avg'
6.4415 	EXP 	window1: blendMode = 'avg'
6.4436 	EXP 	window1: blendMode = 'avg'
6.4470 	EXP 	window1: blendMode = 'avg'
6.4491 	EXP 	window1: blendMode = 'avg'
6.4538 	EXP 	window1: blendMode = 'avg'
6.4559 	EXP 	window1: blendMode = 'avg'
6.4580 	EXP 	window1: blendMode = 'avg'
6.4601 	EXP 	window1: blendMode = 'avg'
6.4635 	EXP 	window1: blendMode = 'avg'
6.4656 	EXP 	window1: blendMode = 'avg'
6.4677 	EXP 	window1: blendMode = 'avg'
6.4726 	EXP 	window1: blendMode = 'avg'
6.4747 	EXP 	window1: blendMode = 'avg'
6.4781 	EXP 	window1: blendMode = 'avg'
6.4802 	EXP 	window1: blendMode = 'avg'
6.4823 	EXP 	window1: blendMode = 'avg'
6.4847 	EXP 	window1: blendMode = 'avg'
6.4894 	EXP 	window1: blendMode = 'avg'
6.4915 	EXP 	window1: blendMode = 'avg'
