6.3252 	EXP 	window1: blendMode = 'avg'
6.3302 	EXP 	window1: blendMode = 'avg'
6.3323 	EXP 	window1: blendMode = 'avg'
6.3344 	EXP 	window1: blendMode = 'avg'
6.3365 	EXP 	window1: blendMode = 'avg'
6.3399 	EXP 	window1: blendMode = 'avg'
6.3420 	EXP 	window1: blendMode = 'avg'
6.3441 	EXP 	window1: blendMode = 'avg'
6.3490 	EXP 	window1: blendMode = 'avg'
6.3512 	EXP 	window1: blendMode = 'avg'
6.3533 	EXP 	window1: blendMode = 'avg'
6.3567 	EXP 	window1: blendMode = 'avg'
6.3588 	EXP 	window1: blendMode = 'avg'
6.3609 	EXP 	window1: blendMode = 'avg'
6.3656 	EXP 	window1: blendMode = 'avg'
6.3677 	EXP 	window1: blendMode = 'avg'
6.3711 	EXP 	window1: blendMode = 'avg'
6.3732 	EXP 	window1: blendMode = 'avg'
6.3753 	EXP 	window1: blendMode = 'avg'
6.3774 	EXP 	window1: blendMode = 'avg'
6.3822 	EXP 	window1: blendMode = 'avg'
6.3856 	EXP 	window1: blendMode = 'avg'
6.3879 	EXP 	window1: blendMode = 'avg'
6.3901 	EXP 	window1: blendMode = 'avg'
6.3923 	EXP 	window1: blendMode = 'avg'
6.3946 	EXP 	window1: blendMode = 'avg'
6.3992 	EXP 	window1: blendMode = 'avg'
6.4013 	EXP 	window1: blendMode = 'avg'
6.4047 	EXP 	window1: blendMode = 'avg'
6.4068 	EXP 	window1: blendMode = 'avg'
6.4089 	EXP 	window1: blendMode = 'avg'
6.4110 	EXP 	window1: blendMode = 'avg'
6.4157 	EXP 	window1: blendMode = 'avg'
6.4220 	EXP 	window1: blendMode = 'avg'
6.4241 	EXP 	window1: blendMode = 'avg'
6.4262 	EXP 	window1: blendMode = 'avg'
6.4284 	EXP 	window1: blendMode = 'avg'
6.4304 	EXP 	window1: blendMode = 'avg'
6.4368 	EXP 	window1: blendMode = 'avg'
6.4420 	EXP 	window1: blendMode = 'avg'
6.4442 	EXP 	window1: blendMode = 'avg'
6.4463 	EXP 	window1: blendMode = 'avg'
6.4484 	EXP 	window1: blendMode = 'avg'
6.4505 	EXP 	window1: blendMode = 'avg'
6.4571 	EXP 	window1: blendMode = 'avg'
6.4592 	EXP 	window1: blendMode = 'avg'
6.4613 	EXP 	window1: blendMode = 'avg'
6.4634 	EXP 	window1: blendMode = 'avg'
6.4655 	EXP 	window1: blendMode = 'avg'
6.4696 	EXP 	window1: blendMode = 'avg'
6.4743 	EXP 	window1: blendMode = 'avg'
6.4764 	EXP 	window1: blendMode = 'avg'
6.4785 	EXP 	window1: blendMode = 'avg'
6.4805 	EXP 	window1: blendMode = 'avg'
6.4839 	EXP 	window1: blendMode = 'avg'
6.4860 	EXP 	window1: blendMode = 'avg'
6.4908 	EXP 	window1: blendMode = 'avg'
6.4929 	EXP 	window1: blendMode = 'avg'
6.4950 	EXP 	window1: blendMode = 'avg'
6.4971 	EXP 	window1: blendMode = 'avg'
6.5004 	EXP 	window1: blendMode = 'avg'
6.5025 	EXP 	window1: blendMode = 'avg'
6.5085 	EXP 	window1: blendMode = 'avg'
6.5107 	EXP 	window1: blendMode = 'avg'
6.5129 	EXP 	window1: blendMode = 'avg'
6.5163 	EXP 	window1: blendMode = 'avg'
6.5184 	EXP 	window1: blendMode = 'avg'
6.5206 	EXP 	window1: blendMode = 'avg'
6.5253 	EXP 	window1: blendMode = 'avg'
6.5274 	EXP 	window1: blendMode = 'avg'
6.5295 	EXP 	window1: blendMode = 'avg'
6.5329 	EXP 	window1: blendMode = 'avg'
6.5350 	EXP 	window1: blendMode = 'avg'
6.5371 	EXP 	window1: blendMode = 'avg'
6.5393 	EXP 	window1: blendMode = 'avg'
6.5440 	EXP 	window1: blendMode = 'avg'
6.5564 	EXP 	window1: blendMode = 'avg'
6.5612 	EXP 	window1: blendMode = 'avg'
6.5675 	EXP 	window1: blendMode = 'avg'
6.5696 	EXP 	window1: blendMode = 'avg'
6.5717 	EXP 	window1: blendMode = 'avg'
6.5738 	EXP 	window1: blendMode = 'avg'
6.5759 	EXP 	window1: blendMode = 'avg'
6.5780 	EXP 	window1: blendMode = 'avg'
6.5843 	EXP 	window1: blendMode = 'avg'
6.5864 	EXP 	window1: blendMode = 'avg'
6.5885 	EXP 	window1: blendMode = 'avg'
