6.2378 	EXP 	window1: blendMode = 'avg'
6.2426 	EXP 	window1: blendMode = 'avg'
6.2460 	EXP 	window1: blendMode = 'avg'
6.2493 	EXP 	window1: blendMode = 'avg'
6.2515 	EXP 	window1: blendMode = 'avg'
6.2536 	EXP 	window1: blendMode = 'avg'
6.2557 	EXP 	window1: blendMode = 'avg'
6.2605 	EXP 	window1: blendMode = 'avg'
6.2638 	EXP 	window1: blendMode = 'avg'
6.2659 	EXP 	window1: blendMode = 'avg'
6.2680 	EXP 	window1: blendMode = 'avg'
6.2701 	EXP 	window1: blendMode = 'avg'
6.2723 	EXP 	window1: blendMode = 'avg'
6.2784 	EXP 	window1: blendMode = 'avg'
6.2806 	EXP 	window1: blendMode = 'avg'
6.2826 	EXP 	window1: blendMode = 'avg'
6.2848 	EXP 	window1: blendMode = 'avg'
6.2868 	EXP 	window1: blendMode = 'avg'
6.2889 	EXP 	window1: blendMode = 'avg'
6.2952 	EXP 	window1: blendMode = 'avg'
6.2973 	EXP 	window1: blendMode = 'avg'
6.2994 	EXP 	window1: blendMode = 'avg'
6.3015 	EXP 	window1: blendMode = 'avg'
6.3036 	EXP 	window1: blendMode = 'avg'
6.3057 	EXP 	window1: blendMode = 'avg'
6.3120 	EXP 	window1: blendMode = 'avg'
6.3142 	EXP 	window1: blendMode = 'avg'
6.3165 	EXP 	window1: blendMode = 'avg'
6.3186 	EXP 	window1: blendMode = 'avg'
6.3207 	EXP 	window1: blendMode = 'avg'
6.3228 	EXP 	window1: blendMode = 'avg'
6.3293 	EXP 	window1: blendMode = 'avg'
6.3314 	EXP 	window1: blendMode = 'avg'
6.3335 	EXP 	window1: blendMode = 'avg'
6.3356 	EXP 	window1: blendMode = 'avg'
6.3377 	EXP 	window1: blendMode = 'avg'
6.3397 	EXP 	window1: blendMode = 'avg'
6.3463 	EXP 	window1: blendMode = 'avg'
6.3484 	EXP 	window1: blendMode = 'avg'
6.3506 	EXP 	window1: blendMode = 'avg'
6.3527 	EXP 	window1: blendMode = 'avg'
6.3547 	EXP 	window1: blendMode = 'avg'
6.3582 	EXP 	window1: blendMode = 'avg'
6.3630 	EXP 	window1: blendMode = 'avg'
6.3663 	EXP 	window1: blendMode = 'avg'
6.3685 	EXP 	window1: blendMode = 'avg'
6.3706 	EXP 	window1: blendMode = 'avg'
6.3740 	EXP 	window1: blendMode = 'avg'
6.3788 	EXP 	window1: blendMode = 'avg'
6.3809 	EXP 	window1: blendMode = 'avg'
6.3830 	EXP 	window1: blendMode = 'avg'
6.3851 	EXP 	window1: blendMode = 'avg'
6.3872 	EXP 	window1: blendMode = 'avg'
6.3906 	EXP 	window1: blendMode = 'avg'
6.3955 	EXP 	window1: blendMode = 'avg'
6.3976 	EXP 	window1: blendMode = 'avg'
6.3997 	EXP 	window1: blendMode = 'avg'
6.4018 	EXP 	window1: blendMode = 'avg'
6.4038 	EXP 	window1: blendMode = 'avg'
6.4073 	EXP 	window1: blendMode = 'avg'
6.4094 	EXP 	window1: blendMode = 'avg'
6.4142 	EXP 	window1: blendMode = 'avg'
6.4163 	EXP 	window1: blendMode = 'avg'
6.4184 	EXP 	window1: blendMode = 'avg'
6.4205 	EXP 	window1: blendMode = 'avg'
6.4239 	EXP 	window1: blendMode = 'avg'
6.4261 	EXP 	window1: blendMode = 'avg'
6.4310 	EXP 	window1: blendMode = 'avg'
6.4332 	EXP 	window1: blendMode = 'avg'
6.4353 	EXP 	window1: blendMode = 'avg'
6.4387 	EXP 	window1: blendMode = 'avg'
6.4418 	EXP 	window1: blendMode = 'avg'
6.4440 	EXP 	window1: blendMode = 'avg'
6.4486 	EXP 	window1: blendMode = 'avg'
